DateID;CustomerID;TotalTimeWatched;Platform;PlayEventType;VideoTitle;TotalTimeWatched_Hours;DayOfWeekName
2020/11/19;0OAF5G8EAWS6F3BQBRHG284L001W;60;Leanback;Catch Up;Rhythm City;1;Thursday
2020/12/17;L8NVCEUVC1TGEYT1LJWFM4A0002J;1020;Web;LiveTV;Chicago Fire;17;Thursday
2020/12/20;HBJV8IELD3Q9EVNQBZNLB5GZ004J;60;Leanback;LiveTV;PL 20/21: Brighton v Sheff United;1;Sunday
2020/12/20;0QHWB58BKQRMARANHTLR52A40066;480;Web;Catch Up;Getroud Met Rugby;8;Sunday
2020/12/22;KZB317VTJLMC3R6YCR79716F0064;4320;Android;LiveTV;Unknown;72;Tuesday
2020/12/24;CNVIHYP986VL95QWEQ24HKLI005Q;240;iOS;LiveTV;Adventures On Grizzly Mountain;4;Thursday
2020/12/26;D0785AJEK4OFDM0WFP6ELYSQ0015;4920;Leanback;LiveTV;Unknown;82;Saturday
2020/12/27;HG64K7449Y0B537D5UX5J846001G;300;Leanback;LiveTV;Morning Live;5;Sunday
2020/12/27;EKPHHWGGBIYPHUW7A5UZKJWQ004J;2400;Web;LiveTV;Forbidden: Dying For Love;40;Sunday
2021/01/02;0VJ7C24UAWRHAQNNANQ512PI0056;720;Android;LiveTV;Unknown;12;Saturday
2021/01/03;JQPCIA0W3STGHOM9D5B3BSQ8004G;120;Leanback;LiveTV;PL 20/21: Newcastle v Leicester;2;Sunday
2021/01/06;D0785AJEK4OFDM0WFP6ELYSQ0015;1080;Leanback;Catch Up;Binnelanders;18;Wednesday
2020/12/08;68WQ5Y219XYF0ZPF1JOV7VRL000G;60;Leanback;LiveTV;Unknown;1;Tuesday
2020/12/15;D0785AJEK4OFDM0WFP6ELYSQ0015;1080;Leanback;Catch Up;Binnelanders;18;Tuesday
2020/12/20;0QHWB58BKQRMARANHTLR52A40066;900;Web;Catch Up;Getroud Met Rugby;15;Sunday
2020/12/20;3YD670SYEC196D8VH1EQ7AW6000W;1680;Leanback;LiveTV;Unknown;28;Sunday
2020/12/23;KDEX2I17AZZS3SJCC83H97HE001Q;60;Android;Catch Up;Mamazala;1;Wednesday
2020/12/23;68WQ5Y219XYF0ZPF1JOV7VRL000G;720;Android;LiveTV;Unknown;12;Wednesday
2020/12/24;HGKBH7DQDW9BJ0F0G4A4BI7B002V;1920;Web;LiveTV;Today;32;Thursday
2020/12/24;EJDJ2Y551IK5C3NRIFV98V5D0023;60;Leanback;LiveTV;Chopped;1;Thursday
2020/12/29;JLP8HMRSERRT7SHE2L7V8177004S;1140;Leanback;LiveTV;Unknown;19;Tuesday
2020/12/30;JYOGA9HQ4XY696D39OMU9LAG000H;360;Leanback;Other;Suidooster;6;Wednesday
2021/01/03;8H97BUBN86RPIZTHIAYA2HL7004H;360;Leanback;LiveTV;Sky News;6;Sunday
2021/01/04;32LZ1CGFHR8JDOMJE2XWC4850050;540;Leanback;LiveTV;Unknown;9;Monday
2020/11/27;M342MBRPEUXXGC124LOJ1MX90025;2280;Leanback;Other;The Voice;38;Friday
2020/12/05;EPBF04WULJ4Z3T1GEO1UIT7E006H;60;Leanback;LiveTV;eNuus;1;Saturday
2020/12/12;JY0T91E4CHOMDL5BKGEBKG0K0067;120;Leanback;LiveTV;Unknown;2;Saturday
2020/12/19;KG5E51DIHELAEZ9KLPOY6A0N001A;420;Leanback;LiveTV;Unknown;7;Saturday
2020/12/20;DVL541IC6FJ4DG263LFKF2FN005L;4740;Leanback;LiveTV;Unknown;79;Sunday
2020/12/21;DCB27YH98GCW7XVD73YWKPM60062;180;Leanback;LiveTV;Through The Wormhole With Morgan...;3;Monday
2020/12/23;KEFL2WL371PM3R0QBTN6I5UF000E;4920;Web;Catch Up;Your Highness;82;Wednesday
2020/12/23;HGKBH7DQDW9BJ0F0G4A4BI7B002V;180;Web;Catch Up;Nine Lives;3;Wednesday
2020/12/27;6IJQBNZ9DGH0504XL9RWCWOR006T;19200;Web;LiveTV;Year In One;320;Sunday
2020/12/27;32LZ1CGFHR8JDOMJE2XWC4850050;420;Android;Catch Up;Unmarried;7;Sunday
2020/12/29;EJDJ2Y551IK5C3NRIFV98V5D0023;1620;Leanback;LiveTV;Forged In Fire;27;Tuesday
2020/12/30;IV7T6M79F1E9J6J1KRMDE146002D;60;Web;LiveTV;Tyler Perry's Young Dylan;1;Wednesday
2020/12/31;J1CP5WW4I0QLM2X7CYJJ3ONI001O;3480;Leanback;LiveTV;e.tv News;58;Thursday
2021/01/01;G249FF1CLCT350FPMDPIJVE4004V;5640;Leanback;Other;Gloria Bell;94;Friday
2021/01/01;GP1DIXV84RK8J68H7S7U7QBJ001A;1200;Leanback;LiveTV;pointless;20;Friday
2021/01/04;K0ET7QSKE5OJ526F656F0ZU6004J;60;Web;LiveTV;Deur Dik En Dun;1;Monday
2020/11/08;EW1DENH0EC1J3M9WAOZF9LSV004O;660;Leanback;Other;Premier League;11;Sunday
2020/12/14;JYOGA9HQ4XY696D39OMU9LAG000H;240;Leanback;LiveTV;Unknown;4;Monday
2020/12/16;68WQ5Y219XYF0ZPF1JOV7VRL000G;2040;Android;LiveTV;Unknown;34;Wednesday
2020/12/24;9Y972RE3BM4T57QHE0I0508A003K;6660;Leanback;LiveTV;come dine with me: south africa;111;Thursday
2020/12/29;JLP8HMRSERRT7SHE2L7V8177004S;660;Leanback;LiveTV;Victor And Valentino;11;Tuesday
2020/12/30;EJDJ2Y551IK5C3NRIFV98V5D0023;2160;Leanback;LiveTV;Impossible;36;Wednesday
2020/12/31;I7SNFC8FAWR3AS8HDYGDGWK0003Q;2520;Android;LiveTV;Unknown;42;Thursday
2021/01/01;G249FF1CLCT350FPMDPIJVE4004V;240;Leanback;LiveTV;BBC World News;4;Friday
2021/01/01;D1COFVKB7R35KG4Y8QL2AP4U002B;1560;Leanback;Other;Premier League;26;Friday
2021/01/01;DTO9EH7W6CFXDF3MJ3OQD5DR0030;1620;Leanback;LiveTV;Unknown;27;Friday
2021/01/03;68WQ5Y219XYF0ZPF1JOV7VRL000G;480;Android;LiveTV;Unknown;8;Sunday
2020/11/18;6TS2LLY0L3G66FVY86Q0JEZE000K;900;Leanback;Other;Mbau Reloaded: Always Rise;15;Wednesday
2020/12/10;HUD9LRDQ780WEXKGD3QYBPDQ0055;480;Web;LiveTV;Unknown;8;Thursday
2020/12/12;JYOGA9HQ4XY696D39OMU9LAG000H;780;Leanback;LiveTV;Unknown;13;Saturday
2020/12/20;3YD670SYEC196D8VH1EQ7AW6000W;720;Leanback;LiveTV;Unknown;12;Sunday
2020/12/20;HGKBH7DQDW9BJ0F0G4A4BI7B002V;300;Android;LiveTV;Unknown;5;Sunday
2020/12/21;IFIPM513BCIM7WA5E0SQ6YNL006X;480;iOS;LiveTV;ALVINNN!!! And The Chipmunks;8;Monday
2020/12/23;BVZ3325M7B6G6O26KAOIKKVU001V;480;Leanback;LiveTV;Unknown;8;Wednesday
2020/12/29;D2WSMBTHGYV8J1I0LP466FZF002Y;1380;Leanback;Catch Up;Uthando neS'thembu;23;Tuesday
2020/12/31;2CPUH960EORI7SOJ3IC1CGF8002P;60;Android;LiveTV;Unknown;1;Thursday
2020/12/31;G082G8JT6FP20Q1WLU4OIF3O004F;360;Leanback;LiveTV;Unknown;6;Thursday
2021/01/01;KEFL2WL371PM3R0QBTN6I5UF000E;3300;Web;Catch Up;Masterchef Australia;55;Friday
2021/01/01;MGSP66WAG6HL0U4C8TCMJU5L002C;3060;Leanback;LiveTV;Unknown;51;Friday
2021/01/02;ELCD1R7QJ2PFBYL6D4O08JL1002H;1500;Leanback;LiveTV;News Live;25;Saturday
2021/01/04;HBR8J9V99LGMJ0MS22Q66OED004C;2640;Leanback;LiveTV;Int CRI 20/21: RSA v SRI 2nd Test D2;44;Monday
2021/01/04;FPKN5PVIADQD0V0GIWBFL9UH000C;1500;Leanback;LiveTV;k.c. undercover;25;Monday
2020/11/08;JMCVLXSA196YJ0KC6IDOIEVB000M;960;iOS;Catch Up;Mbau Reloaded: Always Rise;16;Sunday
2020/11/16;JO9Y8ZNQ3MIPC19BLHCE426J005F;120;Leanback;LiveTV;Outdaughtered;2;Monday
2020/11/17;68WQ5Y219XYF0ZPF1JOV7VRL000G;3660;Leanback;LiveTV;Unknown;61;Tuesday
2020/11/26;570E5TCC0WGV0V0TDUGC5S0J0071;420;Web;LiveTV;Ouma weet mos;7;Thursday
2020/11/28;MEIK8UG61FDV4ZCC4BW31QQ90031;960;Leanback;Other;You Promise To Marry Me;16;Saturday
2020/12/05;99XY8K7T71P3KIC125HPLFM1004C;6060;Leanback;LiveTV;Car S.O.S;101;Saturday
2020/12/06;61ZRBGKCHEQ50WW5G00LEMDQ000Y;60;Leanback;Catch Up;You Promise To Marry Me;1;Sunday
